Rating,Label,Review
1.0,0,blackdecker digital microwave oven sleek addition kitchen modern design digital interface userfriendly makes heating food breeze variety power settings allows precise control cooking great someone like appreciates wellcooked meal size perfect countertop easy clean really looking forward using blackdecker digital microwave oven unfortunately never arrived experience amazons customer service trying resolve delivery issue less satisfactory took quite several exchanges reach resolution favor denied full refund unclear reasons unfortunate high hopes purchase support amazon overall functional aesthetically pleasing appliance lives brands reputation
1.0,0,advertised internal dimensions totally misleading think able fit dish nearly large advertised dimensionsadvertised internal dimswide tall deep measuredopening width opening height practical radius center turn table nearest obstructionpractical diameter x radiusplate diameter plate fit old cuft ge microwave fit inch deep microwave plus notice protrusion inside right wall person supposed fit larger taller dishes unless eat microwaved popcorn bags one dishes shaped like inside volume besides misleading advertisement design seems really poor popouts axis high use platei never ran mine cannot speak performance unit favorite plates fit put mw back box returned wasted four days poorly presented mistake
1.0,0,dont understand number positive reviews honest reflection microwave months talk following low power lingering smell useless turntable low power say low mean cant heat one cup room temperature water mug much better built microwave previous house needed buy new one since new house didnt one built got one small foot print unfortunately takes us twice amount time heat foods beverages compared last one lingering smell heat anything type scent prepared either leave door open therefor light overnight smell dissipate live eating drinking scent whatever prior heat fish forget using another day ive used heat salmon one night opened heat cold cup coffee mid morning next day met foul scent come old fish odor btw clean microwave daily spotless food splatters turntable piece glass sits top loose plastic ring three wheel whole thing slides place three grooves bottom glass turntable supposed catch center turning mechanism microwave however happen precariously balance way doesnt slide around wheeled ring thing perfectly situated mismatched grooves hair whole thing slides around againi wish time energy send back still chance favor pass
1.0,0,got months ago noticed smelled funny using think much weeks later started noticing little bugs digital timer area thought ok get ants sometimes maybe got weeks go start seeing roaches around house particularly kitchen area weve never roaches ever call exterminator explain everything exterminator comes opens microwave side like took side full roach eggs roaches yuck little microwave ended costing exterminator come month next year keep treating house come back really wish amazon would refund money pay exterminator costs knows im disgusted upset initial exterminator costs plus costs roach treatments next year microwave costing buy
1.0,0,microwave literally blew husband plugged wall time tried return broken defective product site would direct watch video fix problem rather allow return nonusable item teach intended take elementary school grateful take dangerous appliance around students money disappointed complete lack customer service purchase microwave
1.0,0,extremely weak microwave heat things twice recommended time get heat also tons condensation build every time much door drips open wipe pain never experienced terrible microwave spend little get something better
1.0,0,pros sizecons control pad resistant pushed order make selection literally hold unit keep sliding away admit top refrigerator metal level pressure engage control dumb used quartzite counter top would slide around maybe rough wood slide around maybe table rotating noise wa wa wa wa loud enough unwanted
1.0,0,microwave came box destroyed crayon marks covering inside box food stuck rotating tray greasy fingerprins back microwave caved numerous dents front sides door
1.0,0,microwave lasted years paint started chip year finally cooking items back back min interior side microwave started swell cancerous growth turned black first thought food exploded stuck side always use plate cover heating food tried chip created mess budge picture final state replaced paint chipping concerning alone horrible
1.0,0,doesnt heat well tray never stays right looks like overheated side dark marks chipped within years buy usually leave reviews one awful warn people
